fips,unemploymentRate2009,unemploymentRate2010,unemploymentRate2011,unemploymentRate2012,unemploymentRate2013
1001,5.9,6.2,7.5,8.6,9.4
1003,5.5,6.6,7.7,8.5,9.2
1005,9.8,9.6,13,13.5,14.3
1007,4.8,9.1,9.6,10.5,12.2
1009,5.7,7.5,9.1,10,9.7
1011,10.7,11.2,15.5,14.3,15
1013,9,9.5,12.1,13.8,14.8
1015,9.6,11.7,12,13.3,14.2
1017,12.2,14.2,14.9,16,17.2
1019,11.2,12.4,12.9,10.5,10.5
1021,7.6,9.1,11.1,11.3,10.3
1023,10.5,13.1,16.2,15.6,14.1
1025,8.2,10,14.5,16.7,18.9
1027,8.9,10.9,10.9,11.7,12.9
1029,12.8,12.9,12.5,12.3,11.2
1031,7.3,7.5,7.3,7.6,7.7
1033,6.4,7.4,8.5,8.7,9.9
1035,8.9,12.6,19.5,23.6,24.8
1037,6.6,11,13.8,13.8,17.7
1039,9.2,8.9,9.6,10.2,11
1041,9.5,8.6,9.3,8.6,9.5
1043,6.8,7.8,8.8,9.2,9.7
1045,6.6,7.6,8.5,8.8,10.4
1047,15.5,15.2,17.1,19.4,20
1049,8,8.6,9.9,11,11.4
1051,7.9,8.1,8.8,8.5,8.9
1053,9.1,10.3,11.7,15,15.8
1055,8.9,10.1,10.2,11.3,11.8
1057,6.5,6.7,7,8.1,9.8
1059,7.5,8.1,8.1,9.3,10
1061,7,7.6,8.7,9.7,9.4
1063,15.3,21.9,21.3,23.8,24.1
1065,15,14.1,15.4,15.9,16.2
1067,7.7,10.8,13,12.7,12.1
1069,6.3,6.6,7.4,7.8,8.2
1071,8,7.4,8.6,8.1,10.2
1073,8,8.7,9.3,10,10.3
1075,9.8,9.8,9.8,9.5,10.1
1077,8.5,8.6,8.3,9.1,9.2
1079,5.7,8.9,10.9,11.5,12.7
1081,7.7,8.4,9.1,9.7,9.4
1083,7.3,7.5,7.7,8.9,9.1
1085,12.3,14.5,15.8,17.6,17.5
1087,12.6,13.7,13.4,16.5,18.2
1089,7,8.1,9,9.3,10
1091,8.6,11,10.5,10.6,10.6
1093,7.1,7.9,9,10.9,11.9
1095,6,6.4,8,9.1,10.2
1097,8.4,9.7,10.4,11.1,11.9
1099,10,10.5,13.2,14.8,18.9
1101,7.6,7.9,8.6,8.7,8.9
1103,7.3,8.5,9.4,11,11.8
1105,10.6,15.4,15.2,19.1,19.9
1107,10.4,14.1,14,14.5,16.4
1109,7.9,9.2,9.7,9.7,10.7
1111,11.7,10.5,10.5,11.6,12.1
1113,10,11.6,12.3,11.7,11.9
1115,7.4,7.2,9.7,10.7,10.8
1117,4.5,5.5,6.5,6.4,6.5
1119,13.5,16.6,18.4,19,17.6
1121,10.6,11.5,13.6,14.5,15.1
1123,9.3,9.5,10.2,11.6,11.4
1125,6.1,6.4,7.3,8,8.1
1127,8.5,11.6,12.9,13.7,14.5
1129,6.2,10.3,15.6,18,20.4
1131,20.7,21.7,24.8,24.5,27.1
1133,7.2,7.7,8.9,9.8,10.4
2013,4.4,3.4,5.8,3.1,1.7
2016,1.8,1.9,4,3.6,4
2020,7.3,7.4,7.2,7.3,7.3
2050,17.9,18.5,16.8,17.9,18.6
2060,10.5,11.4,9.1,6.9,4.6
2068,2,1.9,2.7,2.8,2.3
2070,14.3,14.7,15.4,14.5,16.1
2090,6.9,7.1,6.7,6.7,7.9
2100,5.7,5.6,10.1,9,8.3
2105,11.9,10.2,14.2,12.7,13.9
2110,6.1,5.8,5.3,5.1,5.3
2122,9.1,8.6,8.5,8.9,9.8
2130,4.8,6.8,8,8.4,8.7
2150,6.8,5.9,7.4,5.9,6.9
2164,5.8,10.3,9.9,8.9,10.9
2170,11.8,9.6,9.7,10.5,10.5
2180,16.8,17.3,16.9,17.8,17.9
2185,19.4,24.6,15.8,12.3,12
2188,25.8,26.3,25.9,26.2,26.2
2195,4.9,4.3,6.2,4.5,6
2198,11,11.2,10.9,11.4,12.8
2220,7.6,6.9,6.5,6.3,5.3
2230,10.8,12.2,5.3,7.6,7.8
2240,15.6,13.2,10.3,9.3,9.2
2261,11.1,10.2,9.9,7.4,8
2270,24.5,26.5,27.1,27.2,28.1
2275,8.9,6.4,5.5,6,8
2282,4.1,3.8,4.3,4.4,6.2
2290,22.5,24.2,23.9,22.6,21.9
4001,13.8,15.6,18.8,19.6,20.7
4003,7.4,7.7,8.6,9.2,9.4
4005,6,7,7.9,8.4,9
4007,6.6,6.9,7.4,9.2,12.2
4009,10.9,9.8,10.1,11.4,13.1
4011,11.4,11.7,14.2,10.8,11.8
4012,7.2,7.1,7.9,8.6,10.8
4013,6.2,7.1,8.3,9,9.5
4015,9.4,10.8,12.1,14.2,14.5
4017,12.7,12.4,14.6,17.1,19.4
4019,7.4,8,9.2,10.1,10.9
4021,6.2,7.7,9.9,11.5,12.1
4023,9.6,11.7,13.2,14,13.1
4025,6.3,7.1,8.8,10.2,10.8
4027,10.4,11.1,11.7,13,13.6
5001,7.9,7.4,7.6,7.3,8.2
5003,9.5,10.2,9.7,9.8,11.2
5005,8,7.9,8.9,9.6,10.4
5007,5.5,5.3,5.5,5.2,5.6
5009,6.9,6.9,6.3,8.3,9.3
5011,9.8,6.6,6.8,7.5,8.3
5013,6.8,6.7,6.2,7.9,6.7
5015,6.1,7.8,8.1,8.2,7.7
5017,18.1,15.4,10.7,11.8,13.1
5019,9,9.2,9.8,11.5,11.1
5021,11.3,11.8,13,13.2,12.5
5023,5.4,7.3,8.2,10.4,10.9
5025,8.7,8.2,9.3,11.8,11.3
5027,9.5,11.5,10.1,12.5,11.5
5029,5.3,6.5,9.3,9.2,10.3
5031,7.4,8.1,8.7,8.7,9.1
5033,6.1,5.7,6.7,7.6,8.6
5035,10.4,12.6,12.7,12.8,11.9
5037,8.7,7.3,8.8,8.6,9.7
5039,11.2,10.1,12,10.3,9.6
5041,13.6,13.2,12.6,13.7,14.2
5043,12.5,12.3,11.8,12,13.2
5045,7.5,7,7.5,7.8,7.4
5047,6.7,7.5,9.9,10.5,11.8
5049,10.6,9.8,11.8,11.3,10.6
5051,7.7,8,8.8,9.5,10
5053,4.3,5,7.4,7.6,7.6
5055,7.1,7.8,8,9,9.2
5057,6.5,7.5,8.5,8.8,9.6
5059,10.9,10.7,11.2,9.7,8.8
5061,5.1,6.6,7.1,7.9,9.4
5063,5.5,6.9,7.1,8.5,9
5065,6.5,7.4,10.7,11.2,11.4
5067,9.4,10.7,12.2,11.4,11.6
5069,12.4,14.2,14.1,13.3,13.4
5071,7.3,7.7,6.9,7.2,7.9
5073,8,11.6,11.6,14.6,15.5
5075,8.1,9.1,9.2,9.2,9.5
5077,15.8,18,17.7,18.1,16.7
5079,8.9,11.6,10.8,11.7,16.9
5081,8.4,9.1,7.8,7.1,6.5
5083,6.9,8.3,8.8,8.5,8.6
5085,6.5,7.5,7.2,7.8,8.1
5087,4.1,4.2,6.5,8.9,9.7
5089,7.2,7.1,8,9.7,10
5091,8.4,8,8.8,8.9,9.2
5093,9.2,12,12.6,12.2,13.3
5095,8.6,11.4,10.2,11.5,14.3
5097,6.2,7.9,7,7.5,5.4
5099,6.3,10.8,14.2,14.7,10.8
5101,6.2,4.8,3.8,5.7,4.8
5103,11.4,12.8,13.4,12.7,13.1
5105,4.3,6,5.1,7.3,8.6
5107,14.9,16.6,17.7,18.4,20
5109,7,9.6,10.2,10.2,8.4
5111,11.1,11.9,12.9,14.4,12.8
5113,5.3,5.1,5.7,6.8,7.1
5115,6.7,6.6,7.6,6.8,8
5117,7.4,5.9,5.2,4,5.3
5119,6.8,7.3,8.1,8.1,8.6
5121,7.1,8.1,8.1,7.5,6.9
5123,14,14.2,13.2,12.8,12.7
5125,4.9,5.7,6.2,6.3,6.4
5127,8.4,9,8.7,9.3,9.2
5129,5.6,4.9,5.8,5.6,7.3
5131,6.1,6.1,6.6,6.7,6.8
5133,6.5,7.9,10,9,11.5
5135,7.6,8,10.2,10,9.8
5137,6.1,5.3,7.3,7.4,6.3
5139,8.9,8.7,8.7,8.7,10.2
5141,7,9,9.6,12.8,13.3
5143,5.3,6.3,6.9,7.3,7.6
5145,6.8,6.8,7.4,7.3,7.2
5147,8,9.2,9.6,10.9,10.8
5149,7.5,7.2,7.3,7.2,8.3
6001,7.7,8.5,9.2,9.9,10.3
6003,15.2,13.9,9,10.3,9.8
6005,10.4,11.4,15.2,17.3,16.8
6007,10.6,11.5,13.2,14.4,14.1
6009,8.2,7.6,9.2,11.8,11.6
6011,12.9,14.2,13.8,14.4,13.3
6013,7.2,8.2,9.5,10.1,10.4
6015,7.7,10.1,10.2,12.1,12.3
6017,7,8.2,9.7,10.9,12
6019,10,11.4,12.7,14,14.5
6021,7.1,8.3,10,10.5,12.8
6023,7.9,8.6,9.7,10.4,11.1
6025,12.5,14.7,16.4,18,18.5
6027,6.2,6.8,7.1,7.3,8.7
6029,10.2,11.4,12.5,13.1,13.7
6031,12.9,12,13.1,14.5,15.2
6033,9,11.8,13.4,15.3,16.5
6035,7.3,9.2,10,11.2,13.6
6037,7.7,8.7,9.8,10.8,11.4
6039,10.8,12,11.3,11.6,10.7
6041,4.5,5.6,6.3,6.9,7.6
6043,10.3,12.9,13.2,14.7,14.4
6045,8,9,11,11.4,12.1
6047,12.6,13.8,15.2,16.1,17.9
6049,7.1,11.4,9.4,11.6,10.7
6051,6.1,6.5,7.5,10.7,10.3
6053,9.6,10.2,10.8,11.1,11
6055,6.5,7.4,8,8.9,9.1
6057,7.2,8.1,9.2,10.4,10.7
6059,6.2,7.4,8.3,9,9.4
6061,5.6,6.9,8.2,9.3,10
6063,9.1,9.9,14.2,17.2,17.2
6065,9.2,11.2,12.9,14.2,14.9
6067,8.8,10.2,11.7,13,13.7
6069,8.7,10.3,11,13.1,13.8
6071,9.5,11.1,12.9,14.1,14.5
6073,6.7,7.8,8.9,9.6,10
6075,6.6,7.1,7.5,8,8.3
6077,10.8,12.3,14.4,15.7,16.2
6079,6.7,7.4,8.1,8.7,8.5
6081,6.1,6.5,7.3,7.8,8.1
6083,6.4,7.5,8.3,9,9.4
6085,7,7.8,8.6,9.3,9.7
6087,7.5,8.3,8.4,8.8,9.3
6089,10.5,11.7,12.4,13.7,13.4
6091,9,9.4,11.3,9.1,10.2
6093,10.6,12.1,13.4,14.7,14.9
6095,7.9,9.3,10,11,12.1
6097,6.6,7.9,8.7,9.6,10.2
6099,11.1,12.5,14.2,15.6,16.8
6101,11.2,13.4,14.2,14.8,15
6103,9.8,11.3,13.6,15.1,15.8
6105,10.9,13.4,14.7,16.1,15.8
6107,10.4,12.1,13.5,14.1,14.5
6109,8.9,10.6,13.1,16.2,17.3
6111,6.2,7.2,8.3,9.3,9.6
6113,8.2,8.9,9.7,10,10.4
6115,12.1,14.6,17,18.1,19.3
8001,7.1,7.9,9.1,9.5,10
8003,10.7,10,9.5,10.1,11.5
8005,5.9,6.7,7.4,8.2,8.8
8007,8.3,11.1,12,11.1,10.2
8009,2.6,2.5,2.3,2.6,3.8
8011,8.9,15,12.4,15.8,12
8013,6,6.3,6.7,6.9,7.3
8014,5.7,5.8,6.5,5.7,6.5
8015,5.8,8,8.3,7.6,7.5
8017,2.8,5.9,5.5,2.4,4.3
8019,5.3,7,6,7.3,7.5
8021,7.9,8.9,7.9,8.5,8.7
8023,8.1,11.4,10.8,14.5,16.9
8025,8.5,7.1,13.2,20.1,28.2
8027,5.2,10.5,12.3,15.2,15.4
8029,4.7,6.9,9.5,10.9,11.5
8031,7,7.8,8.3,8.6,8.7
8033,6.7,9.2,9.5,9.1,10
8035,4.5,4.7,5.1,5.4,5.6
8037,4.2,4.4,5.2,5.4,5.7
8039,7,7,6.9,8,7.8
8041,6.9,7.5,8.4,9,9.5
8043,6.4,4.9,7.6,7.5,8.5
8045,3.9,5.6,6.7,7.8,8.7
8047,4.6,4.1,4.5,5.9,6.4
8049,4.2,3.9,4,4.7,5.9
8051,5.9,4.8,6.6,7.1,8.3
8053,0,4.3,2.2,4,4.3
8055,10.1,11.1,11.5,11.8,13.3
8057,4.1,2.2,3.4,2.5,1.5
8059,6,6.7,7.2,7.6,7.7
8061,0.8,3.2,1.8,3.2,4
8063,6.1,4.7,5,4.5,5
8065,6.8,5.4,5.4,7.1,7.8
8067,4.1,5.3,6,6.2,6.5
8069,6.5,7,7.9,7.9,8.1
8071,7,8,7.8,8.8,9.1
8073,8.4,9.2,8.7,5.8,6.7
8075,5,6.3,8.1,10,10.8
8077,5,5.5,6.5,7.8,8.7
8079,3.2,1.1,1.8,5.4,2.9
8081,5.8,4.4,6.2,7.4,7
8083,8.4,8.8,10,11.3,11.7
8085,5.9,7.4,9.1,10,11
8087,7.6,7.4,8,7.5,6.4
8089,8.2,8.3,12.7,12.4,11.9
8091,3.3,7.6,8.8,10.1,11
8093,5.7,5.3,7.2,8.2,8.3
8095,2.3,2.5,4.8,5.5,6.3
8097,2.7,2.3,4.7,6.8,7.1
8099,5.4,5.3,6,7.6,9.7
8101,9,9.6,10.2,10.9,11.6
8103,2.1,3.9,5.6,4.5,5.6
8105,10.3,11.9,11,8.3,8.1
8107,2.9,4.1,4.4,6.2,5.6
8109,9.6,10.5,12.5,8.7,9.7
8111,4.5,9.7,13,12.6,18
8113,4.2,4.2,4.9,5.2,6.1
8115,6.2,6.3,7,7.7,9.9
8117,3,4.7,6.3,6,6.2
8119,5.8,7.9,7.9,9.3,10.5
8121,1.8,2.8,2.6,2.9,4.7
8123,5.9,6.4,6.7,7.2,8.1
8125,3.8,3.3,3.3,2.9,3.6
9001,6.8,7.6,8.5,9.3,9.9
9003,7.3,8.1,9,9.6,10.3
9005,5.9,6.5,7.1,7.6,8.3
9007,4.9,5.6,6.3,6.8,7
9009,7.5,8.2,9.3,10,10.5
9011,5.7,6.2,6.9,8,8.8
9013,5,5.8,6.2,6.6,7.5
9015,8.6,9.5,10.3,10.6,11.2
10001,7.1,7.7,8.2,9.3,9.8
10003,6.3,6.9,7.6,8.1,8.6
10005,6.7,7.4,7.8,8.4,9
11001,9.2,9.4,10,10.5,11
12001,6.7,6.7,7.3,7.9,8.6
12003,8,7.3,11,10.5,11.4
12005,6.4,7.5,8.2,9.5,9.9
12007,8,10,13.2,15.1,15.7
12009,7.1,8.8,10.6,11.8,12.4
12011,7.5,8.9,10.5,11.4,11.9
12013,8.2,8,10.9,11.5,10.2
12015,8.9,11.3,13,13.7,13.7
12017,10.2,12.4,15,15.7,15.8
12019,6.9,8.4,9.6,10.6,11.3
12021,6.4,7.5,9.5,9.9,10.1
12023,10.6,13,16,18.9,18.8
12027,8.5,10.2,10.3,12.8,12.6
12029,7.8,10.2,10.7,8.4,9
12031,7.5,8.7,10,10.9,11.7
12033,8.7,10.3,10.9,11.4,12
12035,7.3,8.6,10.3,12,12.4
12037,9.6,10.7,9.6,10.2,12
12039,8.6,11.1,13.2,13.9,14.1
12041,7,12.9,12.1,16.7,16.5
12043,6.7,7.9,10.6,14.5,15.8
12045,9.2,8.1,10.5,13.2,11.9
12047,12.1,14.1,13.1,14.3,16.3
12049,9.4,11.3,11.8,13.7,13.9
12051,11.7,14,16.2,17.9,15.4
12053,10.1,12,14.3,16.7,17.2
12055,9.5,10.5,13.3,14.9,15.2
12057,7.2,8.6,9.9,10.7,11
12059,7.5,8.7,8.8,10.8,11.1
12061,8.7,10.9,12.4,14,14.7
12063,8.9,8.6,8.5,10.6,12.9
12065,10.5,12,10.7,14.2,14.9
12067,2.7,8.1,5.9,9.9,11.2
12069,7.7,8.1,9.7,11.3,12
12071,7.6,9.9,11.9,13.2,13.5
12073,8,8.4,9.3,10.3,11.2
12075,7.7,10.2,12.7,13,14.8
12077,6.5,17.8,21.2,22.8,20.6
12079,8,8.8,8.9,12.3,14.2
12081,7,8.9,10.6,11.6,11.3
12083,8.8,11,12.6,13.4,13.8
12085,7.8,9.4,10.7,12.5,12.8
12086,7.6,8.5,9.9,11.2,11.8
12087,4.2,5.1,6.1,7.2,7.5
12089,7.6,7.9,8.8,9.5,10.1
12091,5.7,7.1,8.3,8.8,8.8
12093,9.1,11.3,11.8,13.7,15.9
12095,7.7,9.1,10.2,11.2,11.4
12097,8.4,9.7,11.2,12.4,12.8
12099,7.7,9,10.5,11.2,11.8
12101,8.3,9.6,11.2,12.1,12.1
12103,6.3,7.8,9,10,10.5
12105,7.1,9.3,10.6,11.9,12.6
12107,10.3,11.3,12.7,13.9,14.1
12109,5.8,6.7,7.1,7.7,7.8
12111,9.8,11.9,14.1,15.6,15
12113,7.8,9.4,10,10.1,11
12115,7.5,9.2,10.7,11.6,11.4
12117,6.1,7.3,8.8,9.8,10.7
12119,9,11.5,11.2,11.7,13.2
12121,8.1,8.5,9.1,9.8,11.7
12123,11.3,13.1,15.1,12.6,13.2
12125,9.4,9.1,10.5,10.6,9.6
12127,6.7,7.9,9.4,10.2,11.2
12129,6.9,7.3,9.9,9.7,10.5
12131,8.1,8.2,9.9,10,9.9
12133,11.1,9.9,11.7,12.7,13.5
13001,5.7,5.2,6.6,6.8,7
13003,8.5,10,12.5,11.5,10.2
13005,6.6,6.8,6.2,6,4.9
13007,6.6,6.5,9.6,12.6,13.8
13009,6.3,7.7,9.1,9.6,9.8
13011,6.4,8.1,8.7,10.4,10.1
13013,8.8,10.1,11,11.1,12
13015,6.1,7.2,8.6,10.2,11.3
13017,12.1,14.3,11.8,15.5,14.8
13019,7.6,8.6,11.3,12.8,14.3
13021,9.9,9.7,10.3,11.1,11.8
13023,7.2,4.9,6.9,7.7,8.7
13025,7.9,7.7,9.6,10.9,11.4
13027,7.4,8.4,11.9,13.8,15.8
13029,6.5,5.8,6.7,9,10.2
13031,8.3,8.5,7.5,8.5,9.2
13033,11.9,8.9,10,10.7,9.5
13035,6.7,8.8,11.7,13.4,13.1
13037,10.6,10.4,6.4,6,5.7
13039,7.1,9.5,9.3,10.1,11
13043,8.3,9.7,9.9,8.5,9.1
13045,8.7,10.4,11.5,12,12.8
13047,5.9,7,7.8,9.6,10.3
13049,6.3,10.4,13,18,18.5
13051,6.2,6.9,7.8,8.9,10
13053,11.4,10.1,10.3,11,17.9
13055,9.5,10,10.6,9.9,10.3
13057,5.8,7.1,7.3,7.5,8.1
13059,7.1,6.5,7.1,7.7,9.2
13061,14.8,20.5,23.1,20.2,17.3
13063,11,13.1,14.4,15.5,17
13065,8.2,3.7,5.8,7.5,11.8
13067,6.3,7.2,8.5,9.2,9.7
13069,5.9,8.1,8.1,10.1,10.5
13071,8.4,8.4,8.1,8.5,9.7
13073,5.4,6.3,6.4,7,7.9
13075,8.9,11.5,11.5,10.6,10.7
13077,6.4,6.6,7,8.1,8.5
13079,7,6.9,7.8,9.8,12.4
13081,9.7,10.5,11.9,15.2,16.6
13083,6.6,9,10.8,11.3,10.6
13085,6.1,7.9,10.1,10.7,11.1
13087,5,6.2,7.5,8.2,8.6
13089,10.4,11.5,12.5,13.3,14
13091,6.3,7.4,9.1,10.8,11.3
13093,7,8.9,9.8,9.1,8.5
13095,12.3,13.1,13.5,15.5,17
13097,9.7,10.6,12.3,12.9,13.2
13099,8.1,8.4,8.6,9.1,8.6
13101,8.3,7.6,10.7,12.4,8.8
13103,7.2,7.6,7.4,7.4,8.4
13105,9,10.2,11.7,13.4,12.9
13107,8.7,10,12,12.1,14.5
13109,6.8,6.3,7.2,8.9,9
13111,7.4,9.3,12.4,13.5,15
13113,5.2,5.6,7,8.1,9
13115,7.1,8.6,10.4,11.9,12.6
13117,4.4,6.1,7.4,8,8.2
13119,6.4,6.4,8.3,10,10.4
13121,8.4,8.8,9.8,10.8,11.6
13123,7.6,8.3,9.2,10.1,10.9
13125,6.8,8.5,6.9,11.8,11
13127,5.2,7.2,9.1,10.5,11.6
13129,6.7,7.9,8.9,9.7,10.1
13131,9.8,11.4,10.7,10.2,13.3
13133,9.2,12.4,12.2,9.4,10.4
13135,7.1,8.3,9.2,9.9,10.4
13137,7.1,7.9,8.3,9.4,10.4
13139,5.4,6.4,7.6,8.4,9.4
13141,9.6,10.9,15.3,21.9,18.6
13143,11.5,14.6,15.2,14.4,15.6
13145,6.8,7.1,7.4,7.2,8.4
13147,6.9,8.7,9,9.3,9.2
13149,8.3,10,12.7,11.7,13.3
13151,7.2,8.6,9.6,10.8,11.6
13153,7.3,8.6,9.1,10.2,10.7
13155,5.3,11.2,9.4,10.2,10.2
13157,5.5,6.3,7.7,7.7,8.6
13159,9.4,11.2,14.4,14.5,13.1
13161,5.5,6.2,9,10.7,10.5
13163,9.9,12.8,14.1,15.3,17.4
13165,9.7,12.5,15,14.2,13.7
13167,13.4,6.8,7.7,8.3,9.8
13169,7.1,6.1,7.7,7,9.5
13171,13.3,13.6,19.1,18.6,16.3
13173,6.1,6.2,8.3,9.7,11.4
13175,4.9,5.1,5.7,6.2,7.2
13177,5.8,6.3,6.5,7.6,7.9
13179,11.5,11.3,10.7,11.9,13.5
13181,9.6,11.2,13,13,12.2
13183,11.1,8.3,8,13.7,16
13185,7.9,9.3,10.9,12.4,13.3
13187,7.2,9.2,11.2,12.3,13.2
13189,7.1,8.6,8.9,10.3,11.2
13191,9.8,8.1,9.1,10.7,14.2
13193,6.1,7.8,10.9,12.6,16
13195,9.4,7.1,8.1,9.7,7.9
13197,11.1,11.4,13.4,17.6,14.9
13199,9,11,11.5,14.2,16.5
13201,6,5.8,8.3,9.9,9.7
13205,8.1,8.2,10,10.3,11.3
13207,5.4,5.4,8.8,8.7,10
13209,4.2,4.3,5.2,4.5,5
13211,7.5,8.5,8.5,9.7,8.2
13213,9.1,9.8,12.9,13.2,13.1
13215,8.1,9.1,10.4,10.5,12
13217,9.8,11.1,12.6,13.2,13.8
13219,4.8,5.4,6.2,6.1,6.3
13221,7.7,6.6,6.8,5.6,6.9
13223,8.2,9.2,10.3,10.8,10.6
13225,11.7,11.7,12,13.9,14
13227,7.2,9,9.6,9.9,9.8
13229,3.3,3.9,6.8,9.6,8.9
13231,7.2,7.9,8.9,8.7,9.7
13233,8.9,10.7,11.4,13.6,14.3
13235,5.8,11.9,7.9,8.3,10.8
13237,7.5,8.1,8.2,8.6,8.1
13239,10.7,11.5,13.1,15.7,14.4
13241,7.3,9.2,8.6,9.6,9.8
13243,12.2,15.4,16.9,16.9,16.7
13245,10.4,11,12,12.1,13.1
13247,10,12.1,12.6,13.5,13.3
13249,5.9,4.5,6,6.4,8
13251,11.5,14.8,16.3,14,11.8
13253,11.6,11.9,9.6,9.9,9.6
13255,11.5,11.9,13.9,13.9,14.1
13257,10,9.8,10.7,10.9,12.8
